candidate_id,rank,score,reasoning
CAND_0018499,1,0.6718,"Senior Machine Learning Engineer with 7.2 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: Embeddings, BM25, LangChain, Pinecone."
CAND_0071974,2,0.6399,"Senior AI Engineer with 7.8 YOE based in Vizag, Andhra Pradesh, strong JD alignment via: Embeddings, BM25, Pinecone, Weaviate."
CAND_0011687,3,0.6387,"Senior NLP Engineer with 7.8 YOE based in Indore, Madhya Pradesh, strong JD alignment via: Embeddings, LangChain, Weaviate, OpenSearch."
CAND_0046525,4,0.6305,"Senior Machine Learning Engineer with 6.1 YOE based in Pune, Maharashtra (open to relocation), strong JD alignment via: LLMs, LangChain, Qdrant, Elasticsearch."
CAND_0077337,5,0.6293,"Staff Machine Learning Engineer with 7.0 YOE based in Kochi, Kerala (open to relocation), strong JD alignment via: LLMs, BM25, Pinecone, Qdrant."
CAND_0088025,6,0.6244,"Staff Machine Learning Engineer with 8.6 YOE based in Jaipur, Rajasthan, strong JD alignment via: LLMs, BM25, Pinecone, Elasticsearch."
CAND_0098217,7,0.6211,"ML Engineer with 6.4 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Pinecone, FAISS, PEFT."
CAND_0076412,8,0.6209,"AI Research Engineer with 5.8 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Pinecone, Python."
CAND_0081846,9,0.6204,"Lead AI Engineer with 6.7 YOE based in Jaipur, Rajasthan (open to relocation), strong JD alignment via: Embeddings, BM25, Qdrant, Elasticsearch."
CAND_0002025,10,0.6194,"Senior AI Engineer with 5.9 YOE based in Trivandrum, Kerala, strong JD alignment via: LangChain, Pinecone, Weaviate, OpenSearch."
CAND_0097176,11,0.618,"ML Engineer with 5.9 YOE based in Gurgaon, Haryana, strong JD alignment via: LangChain, FAISS."
CAND_0008295,12,0.6165,"AI Research Engineer with 6.5 YOE based in Pune, Maharashtra (open to relocation), strong JD alignment via: BM25, Weaviate, Python, QLoRA."
CAND_0079387,13,0.6161,"AI Engineer with 6.9 YOE based in Trivandrum, Kerala, strong JD alignment via: BM25, OpenSearch, Python, LoRA."
CAND_0098454,14,0.6158,"AI Specialist with 6.6 YOE based in Indore, Madhya Pradesh (open to relocation), strong JD alignment via: Embeddings, Pinecone, Weaviate, OpenSearch."
CAND_0098952,15,0.6153,"AI Research Engineer with 5.5 YOE based in Gurgaon, Haryana (open to relocation), strong JD alignment via: OpenSearch, Python, QLoRA, NLP."
CAND_0086154,16,0.6149,"Data Scientist with 6.8 YOE based in Ahmedabad, Gujarat (open to relocation), strong JD alignment via: Qdrant, OpenSearch."
CAND_0073314,17,0.6141,"Senior Software Engineer (ML) with 5.2 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: Weaviate, Milvus, Elasticsearch, PEFT."
CAND_0076482,18,0.6137,"ML Engineer with 6.6 YOE based in Austin (open to relocation), strong JD alignment via: Embeddings, Pinecone, OpenSearch, QLoRA."
CAND_0055905,19,0.6136,"Senior Machine Learning Engineer with 8.1 YOE based in London, strong JD alignment via: Embeddings, LLMs, LangChain, OpenSearch."
CAND_0098846,20,0.6134,"AI Engineer with 7.6 YOE based in Indore, Madhya Pradesh (open to relocation), strong JD alignment via: Qdrant, QLoRA, PEFT."
CAND_0058688,21,0.6107,"AI Engineer with 6.7 YOE based in Berlin (open to relocation), strong JD alignment via: Embeddings, Milvus, QLoRA."
